uniprot_acc	M-D MOCK PBMCB	M-D MCM PBMCB	M-K MOCK PBMCB	M-K MCM PBMCB	P-A MOCK PBMCB	P-A MCM PBMCB	P-W MOCK PBMCB	P-W MCM PBMCB	all MOCK PBMCB	all MCM PBMCB	M-D MOCK TIBC	M-D MCM TIBC	M-K MOCK TIBC	M-K MCM TIBC	P-A MOCK TIBC	P-A MCM TIBC	P-W MOCK TIBC	P-W MCM TIBC	all MOCK TIBC	all MCM TIBC
Q9H0E9	-3.091977240830282	-3.228574184994964	-3.2648370937434805	-3.41046588141968	-3.246485946948704	-3.3596968521943484	-3.470543887232875	-3.45518862662453	-3.353605949602376	-3.381564517221727	-3.32419465539969	-3.349713024749031	-3.2402273282435217	-3.428563894841596	-3.241514754632828	-3.2651971146811274	-3.2968723733471452	-3.4185643645897423	-3.314600653474013	-3.3534622164742416
Q9H0G5	-3.3050011160328765	-3.3555638589384085	-3.354077009835038	-3.4086536119825173	-3.2512491198275457	-3.306467824954697	-3.3168149543753573	-3.324460738811701	-3.272530798561909	-3.330597232451534	-3.480983256615388	-3.483254731871975	-3.1453117685583325	-3.2181523804401584	-3.342517627215326	-3.2892569916975787	-3.255265901515313	-3.3162097550043796	-3.3455613046709445	-3.378380998337126
Q9H0H0	-3.398467937191398	-3.398438272452027	-3.349523760077294	-3.233025978033527	-3.3278150886894813	-3.2500403677879297	-3.3138238085952567	-3.313980078969452	-3.3653083701259607	-3.279070676056604	-3.3786605273234422	-3.350376537011488	-3.3189294537330754	-3.148525293542652	-3.3919729954381417	-3.357939878445533	-3.353759257100561	-3.285623421964784	-3.346070829913927	-3.3029117834714805
Q9H0H5	-3.2817766294206603	-3.5161074142488022	-3.198152975985312	-3.3578036393418835	-3.128230930052955	-3.3135276070790605	-3.451092934922446	-3.636195247520934	-3.0732300457082906	-3.356381957260718	-2.948731112012067	-3.300083262331027	-3.144571396456942	-3.6350874607839225	-3.501371001131494	-3.7563959230693462	-3.0080179474667412	-3.3679790641356013	-3.2685525662806385	-3.503929784898579
Q9H0J9	-3.344882003737993	-3.261162853856112	-3.432336391384355	-3.3665379315946913	-3.1608596825083324	-3.2854258297613046	-3.303573740017421	-3.3270429856462616	-3.371051167051655	-3.384793719741772	-3.594624661418658	-3.437752047513955	-3.742478466519042	-3.38385658065517	-2.9921737012675003	-3.106622364204075	-3.166940848366838	-3.1808819505454653	-3.451881578345585	-3.326949725427603
Q9H0K6	-3.2540147855672847	-3.798813630389893	-3.1397617270944935	-3.552156864149829	-2.9535954868112637	-3.4359583866397982	-3.271475702909701	-3.608939370373564	-2.965356349201182	-3.480749371936555	-2.9966986137767373	-3.333472665772609	-3.275350258903749	-3.6858874744264503	-3.354429454191915	-3.690366965998892	-3.0028523006411314	-3.3257734652478392	-3.2100021699528476	-3.527188485650892
Q9H0L4	-3.538186161691274	-3.3813631387357344	-3.3047323328459695	-3.300162064668299	-3.1979360827246097	-3.201517717539147	-3.316701978524748	-3.3839314719329483	-3.3126550882746852	-3.3110442627366674	-3.577196760941064	-3.4373284971979428	-3.286753988630577	-3.215206011226176	-3.3474831488429	-3.3628367028509825	-3.264957612361576	-3.1358728160192473	-3.307751983453761	-3.328730614206618
Q9H0N0	-3.728021324476408	-3.148551681429855	-3.759860333050436	-3.308802326090607	-3.211475861933972	-3.0180027412723267	-3.40517129592255	-2.9607451917214553	-3.2926511964493623	-3.6306941941535817	-3.419299600446911	-3.3893359467076203	-3.5269088038580105	-3.6464126999900968	-3.0880202105248897	-3.191531200080336	-3.1379329196271644	-3.047493272083707	-3.497903770887011	-3.405902217673711
Q9H0P0	-3.3215877071901208	-3.1921670356968113	-3.442635863184881	-3.4333464871314665	-3.2616625430657633	-3.1528712917319206	-3.3717350574762537	-3.235624328351192	-3.489523618677221	-3.358129616537891	-3.154161078358228	-3.2088935500508766	-3.527000159472444	-3.414485096712121	-3.4056400617410834	-3.5362708050602	-3.3282791571124504	-3.186646038225245	-3.3235436985202305	-3.195661794617243
Q9H0R1	-3.057827933511245	-3.3292675690033886	-3.3446682616098817	-3.4770878773977407	-3.409875487160554	-3.3619743869618928	-3.2311453103773253	-3.303708994020534	-3.3252876094800152	-3.422011968548161	-3.285385220915493	-3.438499492416971	-3.385457818969814	-3.364755125282967	-3.352516872153358	-2.9152107499653757	-3.4020385957061277	-3.448819476698146	-3.355342621101352	-3.3500157290373975
Q9H0R4	-3.4157624936729905	-3.321077324491165	-3.621267582040048	-3.3955039996867886	-3.365567165771301	-3.2089700396818515	-3.154691242872754	-3.000216508329709	-3.278765365278502	-3.565347455596239	-3.312443406875532	-3.1741474057132693	-3.607591427860458	-3.512114966226388	-3.2390888527809474	-3.206999174375369	-3.377834842814388	-3.088811575954071	-3.4378325870469073	-3.34154130558205
Q9H0R6	-3.283699274879262	-3.333689652776338	-3.2683936482016125	-3.3807738427308105	-3.281577188820105	-3.5066715759840283	-3.213663871264438	-3.2462388729887475	-3.3150244585247335	-3.413238631665304	-3.327783616424079	-3.3523642828381184	-3.3243734838048087	-3.4602903970543037	-3.3089930620348973	-3.2330379297341554	-3.2664394932707763	-3.437105901054024	-3.1970565909069513	-3.3326118624045775
Q9H0S4	-3.4218927002140687	-3.5083021768729648	-3.237544321489021	-3.2028970876747023	-3.3096235532518063	-3.241057493224071	-3.3864249651148137	-3.3933717208368384	-3.293364535935424	-3.254687237185121	-3.277270022901298	-3.312320621549046	-3.152887950842133	-3.1372003249322735	-3.517338015251944	-3.539732435453398	-3.3505759034964284	-3.3026759957833214	-3.3171328793279233	-3.3648794659240355
Q9H0U3	-3.327275537139248	-3.3580735031942366	-3.307837440286825	-3.2066332393135073	-3.5727436116633378	-3.416841610421386	-3.2530527399263476	-3.210738412643039	-3.3450727464398136	-3.2576257644290454	-3.3748048050438593	-3.3150508527175164	-3.521786501855263	-3.300448992420923	-3.243803035870573	-3.086504093988249	-3.530193315261704	-3.4091932484811616	-3.2899675766274266	-3.206371945615508
Q9H0U4	-3.229976978076955	-3.2315104913700536	-3.4715714807230413	-3.41820388410964	-3.4684389155527406	-3.3936984174056266	-3.216912919081834	-3.191417841313406	-3.3578792502043715	-3.276323505626391	-3.5138282284169216	-3.452971540879582	-3.2096343104660647	-3.1687675913896616	-3.262081644004501	-3.1741242506009923	-3.4041876969022282	-3.350209288725175	-3.3678666391977647	-3.35938933003486
Q9H0U6	-3.4228191510081794	-3.4445021137707914	-3.291231231108321	-3.153383354524582	-3.324258376688892	-3.2604093661127234	-3.37162590441147	-3.3935622389965507	-3.29679375544107	-3.284414231266674	-3.4251700626818655	-3.505197603636947	-3.2179202778208973	-3.262958358057134	-3.412017816804086	-3.273222956661277	-3.3469269616610804	-3.228656686128811	-3.2874285038173032	-3.2873318801771014
Q9H0U9	-3.235387708991409	-3.2365132156418532	-3.276052225659347	-3.287210500490448	-3.4610210156878263	-3.4514073961107967	-3.2857941479470334	-3.311573760160745	-3.2951914443513903	-3.4004940138520094	-3.200101511664454	-3.434304273452098	-3.199155180656408	-3.201133269362569	-3.6136123913257543	-3.329874182372526	-3.2896514357418862	-3.4857080311928104	-3.129471114428924	-3.409362771184279
Q9H0V1	-2.9343481759966012	-2.9597552247259564	-3.733589931191984	-3.317972356930343	-3.453520205301399	-3.1951369510243492	-3.492009047564318	-3.2938869758816502	-3.5624662703365404	-3.486157754177466	-2.5465559166829532	-2.540976376752401	-3.649461065612556	-3.629208802452971	-3.4747903044924335	-3.529402895807347	-3.8461904767698503	-3.702438104944495	-3.6161386764423074	-3.4413948104937635
Q9H0V9	-3.5899684085183767	-3.3621314433955747	-3.4053256618968986	-3.2305419924382868	-3.3953599696780237	-3.1261117599603883	-3.2752653198353783	-3.295286285191506	-3.3341254826931728	-3.2529534930296125	-3.2924966714273243	-3.3624097515233333	-3.561032346253365	-3.3896987493354227	-3.0306176103476488	-2.9265150513291283	-3.59960094893107	-3.338441921429977	-3.4541984752924706	-3.410162870481418
Q9H0W8	-3.328148517055877	-3.233106011343318	-3.373865583091736	-3.350331195429584	-3.2770658302166824	-3.332261551366156	-3.3306060460220057	-3.390120269509006	-3.3066866276375544	-3.3036468897266724	-3.2656311567173866	-3.254669541966551	-3.404576089055008	-3.268951356393694	-3.4300009237864044	-3.2133107522709836	-3.3991783442823995	-3.2995684346881924	-3.376323771046884	-3.3244462138320428
Q9H0W9	-3.5029406714862374	-3.509481712806957	-3.1725936186627792	-3.3095098243420287	-3.167240796382365	-3.2173977552465893	-3.4281137043348195	-3.400385750164317	-3.2522347740699034	-3.3101585967272817	-3.5113668912683464	-3.347689182205525	-3.115644968886059	-2.9838967024832934	-3.5641559144896915	-3.500197957211219	-3.5612135698613714	-3.241087706891506	-3.218907693654274	-3.3004640057393817
Q9H0X4	-3.3610092713049866	-3.5008759653965926	-3.3363716622535757	-3.2193401112698616	-3.254398902302131	-3.0444229628424933	-3.401114271588765	-3.4043510933659595	-3.5283417868283538	-3.2353152036766843	-3.277108465368925	-3.233914369877825	-3.553396670192069	-3.058179361244196	-3.2391616637700067	-3.0587904029465007	-3.558574680056998	-3.2967271325721432	-3.56782418536259	-3.499130317939459
Q9H147	-3.3490163985250674	-3.285577476966158	-3.366519651871731	-3.4882738412017127	-3.255940893024092	-3.175318904293258	-3.3352113276094033	-3.394530485402864	-3.319304298946235	-3.272184132360876	-3.3030044780392935	-3.261684612307407	-3.346723009383274	-3.159762339946601	-3.531116074077059	-3.5684025595939572	-3.270190246473939	-3.105309571260047	-3.3616355362558954	-3.376500945273208
Q9H171	-3.174901049816148	-2.894489109051425	-3.419995023105698	-3.911380541016414	-2.99058115457508	-3.079943246558437	-3.279532871659249	-3.776097780146779	-3.494914108245552	-3.537125779847505	-3.464328306572984	-3.59602825305424	-4.125307056977456	-4.0812907864681955	-2.6996235013329963	-2.8795024578623036	-2.8741785270699216	-3.691949171563801	-3.2066840632691287	-3.344903410488837
Q9H173	-3.2430422813990103	-3.1592780574098205	-3.2207740425752154	-3.106462474497113	-3.5778103251143443	-3.5938826021861185	-3.353711665870948	-3.265943235165677	-3.3523189070034647	-3.4295113721309476	-3.3424082226244964	-3.2670453280095177	-3.5143265735891887	-3.6946797098280575	-3.0566510544887247	-2.9573565267446424	-3.5032942328171224	-3.833167159106479	-3.2065417754402663	-3.093269634630815
Q9H1A3	-3.4501493068985	-3.552054774055093	-3.13178472885642	-3.310099801849488	-3.1450592275591767	-3.245857648954195	-3.360330472384358	-3.143533741458218	-3.342367650367013	-3.6303721259590302	-3.1011836861253816	-3.1413542743138905	-3.0082127041288227	-3.3504813185197895	-3.905390107466403	-3.482627848797419	-3.3012887293987214	-3.395787111611004	-3.333806646267871	-3.3811683281312033
Q9H1A4	-3.3885545132972257	-3.464536261221301	-3.272083113678119	-3.314577819964747	-3.227789994953064	-3.272041838838022	-3.362064640042929	-3.37138663858668	-3.2569804958348025	-3.3054735907601724	-3.327249434312181	-3.4261382612796174	-3.216242773201415	-3.2331201145722064	-3.4538646429794726	-3.5271323270916666	-3.2421616620756764	-3.2302018948967732	-3.2866861431707117	-3.3123953683311194
Q9H1B7	-3.6323513898504554	-3.0477286087016418	-3.480871674242665	-3.352765991886745	-3.405963021304724	-3.3862787961927734	-3.2589661486587884	-3.2585246328806945	-3.3628875859660137	-3.122297609428144	-3.618427040918657	-3.309503994880441	-3.2916402803164875	-3.1938676753107167	-3.2579443292458685	-2.8771096650037378	-3.4214603257285123	-3.341415700091691	-3.524020696070741	-3.527179835624396
Q9H1C4	-3.2914439333708874	-3.367815343003769	-3.745978389662046	-3.857886917427556	-2.943692752072288	-3.07888035075786	-3.252615926783907	-3.182830502482178	-3.387970393425361	-3.342278322797703	-3.3463734560430587	-3.3212173505485865	-3.4622556446456234	-3.6881137675162874	-3.208963680778484	-3.1638028330690657	-3.040686089388744	-3.319026044536586	-3.3908710976181693	-3.3728939283409196
Q9H1C7	-3.5524566042145795	-3.259265359922201	-3.637755777025772	-3.270298974709155	-3.4271478368839996	-3.30114986321146	-3.214733846612669	-2.993056221928905	-3.4281366124046175	-3.2418125303200176	-3.826229804751827	-3.691059145565823	-3.5980369606340847	-3.3088542832033028	-3.016741789528385	-2.480859008605527	-3.3895210141580208	-3.351814892880801	-3.6840437386338993	-3.400298090083297
Q9H1D9	-4.038854904130681	-3.6146462285368273	-3.2132037757014045	-3.487434126537338	-3.019168524702981	-3.340111009545791	-2.7384382222407813	-3.8377796998669655	-2.9940548878290794	-3.424506756559365	-3.2942415436001102	-3.1804702061874917	-3.3401600887762477	-3.168962589497596	-3.5007773899228507	-3.481687711407622	-3.425224991942044	-3.109638609672098	-3.4067878038118886	-3.369708220738372
Q9H1E3	-3.2927702592391586	-3.220251508509536	-3.383534085558905	-3.427431068493686	-3.5113159240810465	-3.2982138990726195	-3.2435828213803286	-3.168873759487716	-3.402079513090318	-3.3052185726610475	-3.5090419607133656	-3.3659769290094834	-3.431856683628779	-3.198546744513075	-3.29393804372863	-3.419254922183536	-3.2944645150793126	-3.0873784501158243	-3.4002907284920867	-3.2673617947549265
