,orig.ident,nCount_RNA,nFeature_RNA
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C04_S988_comb,cy60,56664,2732
cy80_Cd45_pos_Pd1_neg_S346_G10_S346_comb,cy80,84711,4911
cy94_cd45pos_D10_S142_comb,cy94,350717,7106
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B02_S974_comb,cy60,43232,2643
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_G08_S1040_comb,cy60,91456,2522
cy80_Cd45_pos_Pd1_neg_S252_C12_S252_comb,cy80,107473,4009
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F05_S1025_comb,cy60,52593,2037
cy94_cd45pos_4_E09_S57_comb,cy94,479534,4301
cy60_1_cd_45_pos_3_G08_S368_comb,cy60,78244,2474
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H07_S571_comb,cy79,43066,2890
cy74_CD45_pos_G04_S748_comb,cy74,60372,2550
cy72_CD45_pos_D04_S904_comb,cy72,95211,3290
cy94_cd45pos_H07_S187_comb,cy94,720659,6894
CY58_1_CD45_G12_S1044_comb,CY58,68975,2266
CY89A_CD45_POS_6_A06_S102_comb,CY89A,43154,2080
cy94_cd45pos_B10_S118_comb,cy94,130246,3777
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B04_S976_comb,cy60,65514,2692
cy60_1_cd_45_pos_4_G11_S83_comb,cy60,62250,2387
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_D03_S519_comb,cy79,16391,2268
Cy72_CD45_G08_S752_comb,Cy72,191430,3058
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_D07_S523_comb,cy79,10592,1974
cy80_Cd45_pos_Pd1_neg_S292_E04_S292_comb,cy80,85178,3430
cy84_Met_CD45_pos_A02_S866_comb,cy84,114947,2336
cy80_Cd45_pos_Pd1_neg_S199_A07_S199_comb,cy80,83091,3151
cy94_cd45pos_D03_S135_comb,cy94,791550,7068
CY89A_Core_15_E06_S54_comb,CY89A,30390,2077
CY89A_Core_15_B08_S20_comb,CY89A,113696,3148
CY88CD45_150813_C07_S319_comb,CY88CD45,206977,3574
cy94_cd45neg_cd90pos_A08_S296_comb,cy94,510050,5845
